Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-23,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-24,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-25,1,0.6455,0.6455,0.6455,0.6455,0.0000,1,100.00,0.6455,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-26,1,0.7001,0.7001,0.7001,0.7001,0.0000,1,100.00,0.7001,sub-13_sub-20_sub-26_sub-48_sub-57_sub-58
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-27,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-28,2,0.6522,0.6522,0.6455,0.6589,0.0094,2,100.00,0.6455;0.6589,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56;sub-19_sub-28_sub-30_sub-59_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-29,2,0.6562,0.6562,0.6524,0.6599,0.0054,2,100.00,0.6524;0.6599,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47;sub-5_sub-29_sub-36_sub-38_sub-40_sub-57
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-3,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-30,2,0.6557,0.6557,0.6525,0.6589,0.0045,2,100.00,0.6525;0.6589,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60;sub-19_sub-28_sub-30_sub-59_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-31,1,0.5513,0.5513,0.5513,0.5513,0.0000,1,100.00,0.5513,sub-9_sub-31_sub-36_sub-42_sub-45_sub-53
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-32,2,0.6509,0.6509,0.6251,0.6766,0.0365,2,100.00,0.6766;0.6251,sub-14_sub-32_sub-35_sub-41_sub-60_sub-65;sub-2_sub-8_sub-32_sub-48_sub-63_sub-65
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-33,1,0.6331,0.6331,0.6331,0.6331,0.0000,1,100.00,0.6331,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-34,1,0.6524,0.6524,0.6524,0.6524,0.0000,1,100.00,0.6524,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-35,5,0.6606,0.6766,0.6241,0.6951,0.0315,5,100.00,0.6951;0.6303;0.6766;0.6770;0.6241,sub-8_sub-18_sub-35_sub-47_sub-57_sub-61;sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-14_sub-32_sub-35_sub-41_sub-60_sub-65;sub-17_sub-35_sub-36_sub-50_sub-55_sub-60;sub-1_sub-6_sub-35_sub-44_sub-61_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-36,3,0.6294,0.6599,0.5513,0.6770,0.0682,3,100.00,0.6599;0.5513;0.6770,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57;sub-9_sub-31_sub-36_sub-42_sub-45_sub-53;sub-17_sub-35_sub-36_sub-50_sub-55_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-37,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-38,2,0.6451,0.6451,0.6303,0.6599,0.0210,2,100.00,0.6303;0.6599,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55;sub-5_sub-29_sub-36_sub-38_sub-40_sub-57
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-39,1,0.6524,0.6524,0.6524,0.6524,0.0000,1,100.00,0.6524,sub-8_sub-29_sub-34_sub-39_sub-44_sub-47
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-4,2,0.6841,0.6841,0.6780,0.6903,0.0087,2,100.00,0.6903;0.6780,sub-4_sub-6_sub-8_sub-41_sub-42_sub-57;sub-4_sub-16_sub-20_sub-44_sub-55_sub-65
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=1, weights=uniform)",sub-40,1,0.6599,0.6599,0.6599,0.6599,0.0000,1,100.00,0.6599,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57
