feature,group,mean,std,median,min,max,q25,q75
feature_35,cntrl,0.007187155191413827,0.0049714411680805235,0.00593987291640529,0.00029016608165836785,0.04812682482298445,0.0037957993939725064,0.009161913699581511
feature_36,alz,0.8887651267219556,0.07876432843868951,0.9091503681396366,0.06398399448325649,0.9917466942816394,0.8581472201927736,0.9432684334808292
feature_36,cntrl,0.8259636151255715,0.12447219118593085,0.860774118300025,0.11837186403599025,0.9918829203431841,0.7671149319133883,0.9179417624021747
feature_37,alz,0.06555673923412315,0.04560949204909431,0.053503502102310106,0.0032176653191713397,0.5180006105864745,0.03391875986513497,0.08414919501872803
feature_37,cntrl,0.05992518435942204,0.041204541947340786,0.04932269144738679,0.0039386305313643425,0.5065086688410023,0.031578118758216644,0.07619473734776973
feature_38,alz,0.04001500943883499,0.05072069762329038,0.023211647387341452,0.001070305152826741,0.6936989092422609,0.012890454472065408,0.04520138113375552
feature_38,cntrl,0.1063651455406105,0.10628751388545847,0.07061029726971323,0.0012921056351916232,0.7690819244874294,0.028580941553861636,0.14893986207917737
feature_39,alz,0.005663124605086247,0.004465045086225667,0.00450528550650018,0.00036504701506978745,0.07890430915586594,0.002905821078859223,0.0069632327331898315
feature_39,cntrl,0.007746054974395983,0.005366030363411114,0.006367176641056433,0.0004939024262792884,0.05167073206834523,0.004089096362515298,0.00982439798952299
feature_40,alz,0.8984025929665287,0.06679361769696888,0.9153472253338639,0.3227636429855818,0.9943075338997921,0.8703738749236336,0.9451063383829912
feature_40,cntrl,0.8983866777522622,0.06839545632130369,0.9160433012105454,0.3420895680280604,0.9951833145874215,0.8698254552974388,0.9461414471129586
feature_41,alz,0.06775986047775831,0.04737129530607492,0.055757352854577155,0.001945628484922731,0.4937079848296563,0.03471004846242516,0.08732905690566037
feature_41,cntrl,0.05803662718620876,0.03965032837218937,0.047517029319367646,0.002758423449119908,0.43828511729293756,0.030478746320989642,0.07431406175183172
feature_42,alz,0.02690424565454878,0.02805849277216632,0.01869817888558196,0.0007919326959585926,0.5048089176828862,0.011259502333984884,0.031973683895342886
feature_42,cntrl,0.036277280715377024,0.037735788488216,0.02451542752331635,0.0007395017734417653,0.570810964381794,0.013688733247385555,0.04499253096175692
feature_43,alz,0.006933300901164276,0.007996010555878097,0.0049051294280813215,0.00034989365589602493,0.19754730489010217,0.0031170667046717827,0.007960809559174999
feature_43,cntrl,0.0072994143461521796,0.006273740092332625,0.005694445195890901,0.0004747843151934116,0.1978438756208364,0.0035976509377572603,0.009025285215583526
feature_44,alz,0.901314602569327,0.06513015044036535,0.9176608025325814,0.1877125157372818,0.9945897171124326,0.8738994303564809,0.9471926144786484
feature_44,cntrl,0.8973214602062625,0.0698195123565956,0.9152353735042272,0.3552270431980021,0.9962264174205779,0.8686858888859672,0.9460596812179527
feature_45,alz,0.06616349864863175,0.0466187942677571,0.05398762121087583,0.0031881122416243493,0.4501041006520119,0.033768837186735616,0.08484242212106245
feature_45,cntrl,0.058170729328166304,0.04038047788241677,0.04801537307535394,0.0014657666017735382,0.4707957500038523,0.030277565081501985,0.07421893428492624
feature_46,alz,0.0260423572827048,0.02658397367025789,0.01844948655374938,0.0009882309204082879,0.6093608558056495,0.011007626853827931,0.031134298609910925
feature_46,cntrl,0.03780155055050919,0.03917042896886322,0.025390999182346004,0.0012657183527128677,0.4832747096117705,0.01398349230529127,0.04609015340030036
feature_47,alz,0.0064795414993364005,0.006534110559966904,0.004742864019425389,0.00033131755485784237,0.12037236166776379,0.0029931315132977784,0.007615458841918645
feature_47,cntrl,0.006706259915062018,0.005134838062914316,0.0054330129652454045,0.0003597886863263942,0.10722587915705614,0.0034936483728459497,0.008384009723818985
feature_48,alz,0.8980323557370873,0.06852626844895784,0.914788830974839,0.06249878071646122,0.9955462806258282,0.8698223685870579,0.9455733324307046
feature_48,cntrl,0.8934710386982805,0.07107150370997913,0.9110171482767004,0.23821218076023384,0.9920466325501093,0.8635785909911766,0.94327051749929
feature_49,alz,0.0682998627065752,0.04801695962981391,0.05600821623129231,0.002273511865289261,0.4929366030315946,0.0348891589027902,0.08816781655324991
feature_49,cntrl,0.058994151738322405,0.03999290326885448,0.04854914042877767,0.003713360076990706,0.4404731796986501,0.031071937715131268,0.07565239973524746
feature_50,alz,0.02769888824517533,0.029629686633334935,0.0193152101754867,0.0006781105597375642,0.6958295964543387,0.011456158951969227,0.03289940517807366
feature_50,cntrl,0.04002454001921857,0.04090453804545897,0.027183231925287106,0.0009062605236106711,0.5974370625470072,0.015218373624392436,0.04981397138995834
feature_51,alz,0.00596889331116216,0.0059386732089029065,0.004481825459520894,0.00035300570070283797,0.22667040824354798,0.002886906538404374,0.007089207613893781
feature_51,cntrl,0.007510269544178502,0.005836887304583388,0.005984405839454489,0.0004723065805130305,0.13498720668767436,0.00389444098046806,0.009395486256725646
feature_52,alz,0.9005582572245454,0.06713589675380692,0.9168184328646941,0.059362500134303144,0.9938824024336517,0.8735893857676291,0.9468920803062111
feature_52,cntrl,0.8990828727343496,0.06684001794302641,0.9158846596123752,0.3414957355851347,0.9952378848775761,0.8712152624635536,0.9458848489385118
feature_53,alz,0.06631575986106668,0.04731162302409335,0.05416386782990969,0.001202863122532671,0.6455067188162521,0.03359275748464158,0.08469416048905187
feature_53,cntrl,0.05833892378266084,0.04022414429933881,0.04812008573946342,0.003295137267774651,0.46211322333734145,0.03041169788003038,0.07461580768956591
feature_54,alz,0.02628725854069304,0.026274778259974024,0.018920255158606177,0.0007723768757682192,0.5419967519229401,0.011346614632607072,0.031778394257708634
