Subject,Fold,Model,Accuracy
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-46,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-47,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,KNN,0.4876
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,XGBoost,0.6314
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,SVM,0.5451
sub-48,sub-10_sub-11_sub-12_sub-46_sub-47_sub-48,MLP_(Neural_Network),0.6513
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.4897
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.5984
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.5511
sub-49,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.6194
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.4897
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.5984
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.5511
sub-50,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.6194
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,KNN,0.4897
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,XGBoost,0.5984
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,SVM,0.5511
sub-51,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.6194
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.4941
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.5353
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.5281
sub-52,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.5457
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.4941
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.5353
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.5281
sub-53,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.5457
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.4941
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.5353
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.5281
sub-54,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.5457
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-55,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-56,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-57,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-58,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-59,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
