Subject,Fold,Model,Accuracy
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,KNN,0.6098
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,MLP_(Neural_Network),0.6419
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,SVM,0.7669
sub-15,sub-15_sub-27_sub-29_sub-45_sub-55_sub-62,XGBoost,0.9071
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,KNN,0.5405
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,MLP_(Neural_Network),0.6605
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,SVM,0.7416
sub-15,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55,XGBoost,0.8463
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,KNN,0.5997
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,MLP_(Neural_Network),0.5828
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,SVM,0.6909
sub-15,sub-3_sub-15_sub-21_sub-39_sub-45_sub-49,XGBoost,0.7179
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,KNN,0.6470
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.9561
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.7432
sub-15,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.8868
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,KNN,0.6047
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,SVM,0.7416
sub-15,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,XGBoost,0.8007
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,KNN,0.8891
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,MLP_(Neural_Network),0.9812
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,SVM,1.0000
sub-16,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58,XGBoost,0.9522
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,KNN,0.7713
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,MLP_(Neural_Network),0.9795
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,SVM,1.0000
sub-16,sub-4_sub-16_sub-20_sub-44_sub-55_sub-65,XGBoost,0.9625
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,KNN,0.8055
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,MLP_(Neural_Network),0.9437
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,SVM,1.0000
sub-16,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,XGBoost,0.9471
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,KNN,0.9469
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.9634
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,SVM,0.9890
sub-17,sub-10_sub-17_sub-30_sub-41_sub-44_sub-60,XGBoost,0.9487
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,KNN,0.8040
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,MLP_(Neural_Network),0.8938
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,SVM,0.9963
sub-17,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64,XGBoost,0.8663
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,KNN,0.8297
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,MLP_(Neural_Network),0.8700
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,SVM,0.9963
sub-17,sub-17_sub-34_sub-36_sub-37_sub-58_sub-64,XGBoost,0.8132
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,KNN,0.9542
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,MLP_(Neural_Network),0.9286
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,SVM,0.9890
sub-17,sub-17_sub-35_sub-36_sub-50_sub-55_sub-60,XGBoost,0.8974
sub-17,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,KNN,0.9286
sub-17,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,MLP_(Neural_Network),0.9542
sub-17,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,SVM,0.9963
sub-17,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60,XGBoost,0.8919
sub-18,sub-18_sub-24_sub-30_sub-42_sub-43_sub-48,KNN,0.8294
sub-18,sub-18_sub-24_sub-30_sub-42_sub-43_sub-48,MLP_(Neural_Network),0.7379
sub-18,sub-18_sub-24_sub-30_sub-42_sub-43_sub-48,SVM,0.8977
sub-18,sub-18_sub-24_sub-30_sub-42_sub-43_sub-48,XGBoost,0.8636
sub-18,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,KNN,0.7540
sub-18,sub-2_sub-8_sub-18_sub-41_sub-44_sub-60,MLP_(Neural_Network),0.9659
