Subject,Fold,Model,Accuracy
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.0000
sub-60,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.0000
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.9902
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.0176
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.0373
sub-61,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.0667
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.9865
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.0102
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.1015
sub-62,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.1861
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.9926
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.0000
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.0000
sub-63,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.0093
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.9690
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.0000
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.2172
sub-64,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.3266
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.8921
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.0000
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.0000
sub-65,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.0018
